"book","day","english","korean","sentence1","translation1","sentence2","translation2","sentence3","translation3","sentence4","translation4"
"1","1","niece ","n. 여자 조카 ","This girl is my niece, my brother's daughter./niece*_______________","이 소녀는 나의 여자 조카, 내 형의 딸입니다.","","","","","",""
"1","1","orphan ","n. 고아 v. 고아로 만들다","She was an orphan who knew nothing of her family./orphan*_______________","그녀는 자신의 가족에 대해서 아무것도 모르는 고아이었다.","","","","","",""
"1","1","ancestor ","n. 조상, 선조","His ancestors came to America from England in the seventeenth century./ancestors*_______________s","그의 조상은 17세기에 영국에서 미국으로 왔다.","","","","","",""
"1","1","forefather ","n. 조상, 선조 ","Our forefathers moved here in the mid-sixteenth century./forefathers*_______________s","우리의 조상은 16세기 중반에 이곳으로 이주해 왔다.","","","","","",""
"1","1","descendant ","n. 자손, 후예 ","They have discovered that he is a direct descendant of King Arthur./descendant*_______________","그들은 그가 아서 왕의 직계 후손이라는 것을 알았다.","","","","","",""
"1","1","posterity ","n. 후대, 후세 ","This site is of special cultural significance and should be preserved for posterity./posterity*_______________","이곳은 특별한 문화적 중요성이 있어서 후대를 위해 보존되어야 한다.","","","","","",""
"1","1","bride ","n. 신부","The bride was wearing a beautiful white wedding dress./bride*_______________","신부는 아름다운 흰색 웨딩드레스를 입고 있었다.","","","","","",""
"1","1","groom ","n. 신랑 ","Everyone stood up, and the bride and groom walked down the aisle./groom*_______________","모든 사람들이 일어섰고 신랑 신부가 통로를 걸어갔다.","","","","","",""
"1","1","engagement ","① n. 약혼 ② n. 약속 ","They haven’t formally announced their engagement yet./engagement*_______________","그들은 약혼을 아직 공식적으로 발표하지 않았다.","","","","","",""
"1","1","fiancé ","n. 약혼자","My friend and her fiancé are getting married in August./fiancé*_______________","내 친구와 그녀의 약혼자는 8월에 결혼한다.","","","","","",""
"1","1","spouse ","n. 배우자 ","All employees and their spouses will be invited to the event./spouses*_______________s","전 종업원과 그들의 배우자들이 그 행사에 초대된다.","","","","","",""
"1","1","widow ","n. 미망인, 과부 ","The widow brought up the children herself after her husband passed away./widow*_______________","그 과부는 남편이 죽은 후에 아이들을 자신이 키웠다.","","","","","",""
"1","1","bachelor ","① n. 미혼[독신] 남자 ② n. 학사","I have no wish to get married and want to remain a bachelor./bachelor*_______________","나는 결혼할 마음이 없고 독신으로 남기를 원한다.","","","","","",""
"1","1","divorce ","n. 이혼; 분리 v. 이혼하다; 분리하다 ","Nearly half of all first marriages end in divorce./divorce*_______________","모든 초혼의 거의 반은 이혼으로 끝난다.","I think politics should be divorced from religion./divorced*_______________d","나는 정치가 종교와 분리되어야 한다고 생각한다.","","","",""
"1","1","acquaintance ","n. 아는 사람, 지인; 면식","I don’t know him really well. He’s just an acquaintance./acquaintance*_______________","나는 그를 정말 잘 알지 못한다. 그는 단지 아는 사람이다.","","","","","",""
"1","1","company ","① n. 친구, 동료, 방문객; 같이 있음, 동반, 동석 ② n. 회사 ","Oh, I'm sorry, I didn't realize you had company./company*_______________","어, 미안합니다. 당신이 손님이 있는 줄 몰랐습니다.","Although he’s a quiet man, he enjoys other people’s company./company*_______________","그는 조용한 남자이지만 다른 사람들과 같이 있는 것을 즐긴다.","","","",""
"1","1","companion ","n. 친구, 동반자, 동행자","He never married, and his best friend and closest companion was his dog, Molly./companion*_______________","그는 결혼을 한 적이 없었고, 그의 가장 친한 친구이며 가장 가까운 동반자는 그의 개, 몰리였다.","","","","","",""
"1","1","encounter ","① v. (우연히) 만나다, 마주치다 n. 만남, 마주침 ② v. 직면하다, 부딪히다","On the bus I encountered an elderly man who seemed to have lost his way./encountered*_______________ed","버스에서 나는 길을 잃은 듯한 한 노인을 우연히 만났다.","","","","","",""
"1","1","engagement ","① n. 약속 ② n. 약혼","I wish I could but I have a previous engagement./engagement*_______________","그럴 수 있으면 좋을 텐데 선약이 있습니다.","","","","","",""
"1","1","intercourse ","n. 교제, 친교, 교류 ","There was little social intercourse between the two classes./intercourse*_______________","두 계층 간의 사회적 교류는 거의 없었다.","","","","","",""
"1","1","hospitality ","n. 환대 ","Thank you for your kind hospitality during my recent visit to Hong Kong./hospitality*_______________","저의 최근의 홍콩 방문 동안 친절하게 환대해 주셔서 고맙습니다.","","","","","",""
"1","1","bow ","① v. (허리를 굽혀) 절하다, (고개를) 숙이다 n. 절, 인사 ② n. 활 ","Everyone stood and bowed when the king entered the hall./bowed*_______________ed","왕이 홀 안으로 들어오자 모든 사람들이 일어서서 머리를 숙였다.","","","","","",""
"1","1","salute ","n. (거수) 경례 v.경례하다","As the officer entered, all the soldiers stood up and saluted./saluted*_______________d","장교가 들어오자 모든 군인들이 일어나 경례를 했다.","","","","","",""
"1","2","lifespan ","n. 수명 ","Most sharks are believed to have a lifespan of 20-40 years./lifespan*_______________","대부분의 상어는 수명이 20년에서 40년 정도인 것으로 알려져 있다.","","","","","",""
"1","2","longevity ","n. 장수; 오래 지속됨 ","Her secret to longevity is happiness in life./longevity*_______________","그녀의 장수의 비결은 생활 속에서의 행복이다.","","","","","",""
"1","2","destiny ","n. (필연적인) 운명, 숙명 ","He felt that it was his destiny to be born in this way./destiny*_______________","그는 이렇게 태어난 것이 그의 운명이라고 느꼈다.","","","","","",""
"1","2","fate ","n. (불가피한) 운명, 숙명 ","Their fate is now in the hands of the king./fate*_______________","그들의 운명은 이제 왕의 손에 달려있다.","","","","","",""
"1","2","doom ","n. (불운한) 운명, 비운 v. 불행한 운명[결말]을 맞게 하다","The project was doomed to failure from the start for several reasons./doomed*_______________ed","그 프로젝트는 몇 가지 이유로 처음부터 실패할 운명이었다.","","","","","",""
"1","2","conceive ","① v. 임신하다 ② v. (생각·계획 등을) 마음 속에 품다, 상상하다","She conceived her first child at the age of 37./conceived*_______________d","그녀는 첫 번째 아이를 37살에 임신했다.","","","","","",""
"1","2","pregnant ","a. 임신한 ","At the age of twenty, she became pregnant with her first child./pregnant*_______________","20살에 그녀는 첫 번째 아이를 임신했다.","","","","","",""
"1","2","inborn ","a. 타고난, 선천적인 (= innate)","He seemed to have an inborn talent for recognizing the needs of his clients./inborn*_______________","그는 고객의 요구를 알아내는 데는 타고난 재능을 가진 것처럼 보였다.","","","","","",""
"1","2","innate ","a. 타고난, 선천적인 (= inborn) ","Human beings are born with an innate ability to learn language./innate*_______________","인간은 선천적인 언어 학습 능력을 갖고 태어난다.","","","","","",""
"1","2","nurture ","① v. 기르다, 양육하다 n. 양육 ② v. 육성[양성]하다 n. 육성, 양성","She chose to stay at home and nurture her children full time./nurture*_______________","그녀는 집에 있으면서 전적으로 아이들을 양육하기로 정했다.","","","","","",""
"1","2","mature ","a. 성숙한, 잘 발육한; 어른스러운 v. 성숙하다, 성숙해지다 ","He physically matured from a teenager to a young adult./matured*_______________d","그는 십대에서 젊은 성인으로 육체적으로 성숙해졌다.","He was bright and very mature for his age./mature*_______________","그는 영리했고 나이에 비해 매우 성숙했다.","","","",""
"1","2","adopt ","① v. 입양하다 ② v. 채용[채택, 차용]하다 ","He and his wife had no children of their own, but adopted a daughter./adopted*_______________ed","그와 그의 아내는 자신들의 아이가 없었으나 딸을 입양했다.","","","","","",""
"1","2","foster ","① v. 수양자식으로 기르다 a. 수양~ ② v. (성장·발달을) 촉진하다, 육성[조장]하다","Since becoming foster parents, they have fostered over 50 children./fostered*_______________ed","수양부모가 된 후 그들은 50명 이상의 아이들을 맡아 길렀다.","","","","","",""
"1","2","heredity ","n. 유전","Heredity explains why children usually look like their parents./Heredity*_______________","유전은 왜 자식이 대개 부모를 닮았는지의 이유를 설명해 준다.","","","","","",""
"1","2","gene ","n. 유전자","Scientists have recently discovered a gene that determines skin color./gene*_______________","과학자들은 최근 피부색을 결정하는 유전자를 발견했다.","","","","","",""
"1","2","murder ","v. 살인하다 n. 살인","He was kidnapped and brutally murdered by terrorists./murdered*_______________ed","그는 테러리스트에게 납치되어 잔인하게 살해당했다.","","","","","",""
"1","2","slaughter ","v. 도살[도축]하다; 학살[살육]하다 n. 도살; (대량) 학살","More than 100 million pigs are slaughtered every year in the United States./slaughtered*_______________ed","미국에서는 매년 1억 마리 이상의 돼지가 도살된다.","Hundreds of innocent people were slaughtered like animals./slaughtered*_______________ed","수백 명의 무고한 사람들이 짐승과 같이 학살되었다.","","","",""
"1","2","drown ","v. 익사하다[시키다]","She fell in the water and almost drowned, but was saved by her father./drowned*_______________ed","그녀는 물에 빠져 거의 익사할 뻔 했으나 아버지에 의해 구해졌다.","","","","","",""
"1","2","suicide ","n. 자살","A young man committed suicide after breaking up with his girlfriend./suicide*_______________","한 젊은 사람이 여자 친구와 헤어진 후 자살을 했다.","","","","","",""
"1","2","sacrifice ","v. 희생하다; 산 제물을 바치다 n. 희생; 산 제물 ","The soldiers sacrificed themselves for their country./sacrificed*_______________d","그 군인들은 조국을 위해 자신들을 희생했다.","A lamb was offered as a sacrifice to God./sacrifice*_______________","어린 양이 신에게 산 제물로 바쳐졌다.","","","",""
"1","2","extinct ","a. 멸종된","Dinosaurs became extinct about 65 million years ago./extinct*_______________","공룡은 약 6천5백만 년 전에 멸종했다.","","","","","",""
"1","2","perish ","v. (사고·재난으로) 죽다, 비명에 가다, 소멸되다 ","More than 1000 people perished in the earthquake and tsunami./perished*_______________ed","천 명 이상의 사람들이 지진과 쓰나미로 죽었다.","","","","","",""
"1","2","fatal ","a. 치명적인 ","The bite of this poisonous snake is fatal./fatal*_______________","이 독사에 물리는 것은 치명적이다.","","","","","",""
"1","2","mortal ","a. 죽어야 할 운명의; 치명적인","While some of us live longer than others, we are all mortal./mortal*_______________","우리 중 일부는 다른 사람보다 오래 살지만 우리 모두는 언젠가는 반드시 죽는다.","He received a mortal wound in the chest, and died./mortal*_______________","그는 가슴에 치명적인 부상을 입고 죽었다.","","","",""
"1","2","funeral ","n. 장례식 ","More than a thousand mourners attended the funeral./funeral*_______________","천 명 이상의 조문객이 장례식에 참석했다.","","","","","",""
"1","2","tomb ","n. (규모가 큰) 무덤","Pyramids were built to protect the tombs of the pharaohs./tombs*_______________s","피라미드는 파라오의 무덤을 보호하기 위해 지어졌다.","","","","","",""
"1","2","memorial ","n. 기념물[상, 비, 관] a. 기념의, 추도의","This is a memorial to victims of World War II./memorial*_______________","이것은 제2차 세계대전의 희생자들을 위한 기념비이다.","","","","","",""
"1","2","cemetery ","n. 공동묘지 ","Thousands of war veterans are buried in the national cemetery./cemetery*_______________","수천 명의 참전 용사들이 그 국립묘지에 묻혀있다.","","","","","",""
"1","2","heir ","n. 상속인, 계승자, 후계자 ","The eldest son of the Queen is the heir to the throne./heir*_______________","여왕의 장남이 왕위 계승자이다.","","","","","",""
"1","2","inherit ","v. 상속받다, 물려받다 ","He has inherited millions of dollars from a relative he's never met./inherited*_______________ed","그는 한 번도 만난 적이 없는 한 친척으로부터 수백만 달러를 상속받았다.","","","","","",""
"1","2","wipe ","v. 닦아 내다, 훔치다 n. 닦아 내기","He wiped sweat from his forehead with a handkerchief./wiped*_______________d","그는 손수건으로 이마의 땀을 닦았다.","","","","","",""
"1","2","sweep ","v. (비로) 쓸다 n. 쓸기 ","I swept the floor clean and wiped everything with a wet cloth./swept*_______________","나는 바닥을 깨끗이 쓸고 모든 것을 젖은 천으로 닦았다.","","","","","",""
"1","2","polish ","v. 윤[광]을 내다, (윤이 나게) 닦다 n. 윤, 광택","Every morning he polished his shoes and ironed his clothes carefully./polished*_______________ed","매일 아침 그는 구두를 닦고 옷을 조심스럽게 다리미질했다.","","","","","",""
"1","2","scrape ","v. 긁다, 긁어내다; 찰과상을 내다 n. 긁기, 긁힌 자국, 찰과상","He scraped the wallpaper off the walls and painted them white./scraped*_______________d","그는 벽에서 벽지를 긁어내고 그것을 흰색으로 칠했다.","The boy fell off his bike and scraped his knee./scraped*_______________d","그 소년은 자전거에서 떨어져서 무릎이 긁혔다.","","","",""
"1","2","detergent ","n. 세제 ","This detergent will remove most grease marks./detergent*_______________","이 세제는 대부분의 기름 자국을 지운다.","","","","","",""
"1","2","tidy ","a. 잘 정돈된 v. 정돈[정리]하다 ","She can cook all sorts of food and keeps her house very tidy at all times./tidy*_______________","그녀는 모든 종류의 음식을 요리할 수 있고 항상 집을 잘 정돈해 놓는다.","","","","","",""
"1","2","neat ","a. 단정한, 깔끔한 ","He is sensitive to a messy environment and likes everything neat and in its place./neat*_______________","그는 지저분한 환경에 민감해서 모든 것이 단정하고 제자리에 있는 것을 좋아한다.","","","","","",""
"1","2","transparent ","a. (아주) 투명한; 명백한","The water was so transparent that we could see the bottom of the lake./transparent*_______________","물이 너무 투명해서 우리는 호수의 바닥까지도 볼 수 있었다.","","","","","",""
"1","2","ornament ","n. 장식품, 장신구 v. 장식하다","The shelves were covered with books and ornaments./ornaments*_______________s","선반들은 책과 장식품으로 덮여 있었다.","","","","","",""
"1","2","trim ","v. 깎아 다듬다, 손질하다 n. 손질(된 상태) a. 잘 손질된","He went to a barber shop and had his hair trimmed./trimmed*_______________ed","그는 이발소에 가서 머리를 다듬었다.","","","","","",""
"1","2","cosmetic ","n. (주로 –s) 화장품 a. 화장(용)의; 성형의 ","We sell a wide range of cosmetics from face creams to hair products./cosmetics*_______________s","우리는 얼굴 크림에서부터 모발용 제품까지 다양한 화장품을 판매한다.","","","","","",""
"1","2","rubbish ","n. 쓰레기 ","Would you please take the rubbish out when I've finished clearing the table?/rubbish*_______________","내가 식탁을 다 치우면 쓰레기를 좀 버려 주시겠어요?","","","","","",""
"1","2","litter ","n. (공공장소 바닥의) 쓰레기 v. 어질러 놓다 ","Never drop litter, especially on beaches and in national parks./litter*_______________","특히 해변과 국립공원에서는 절대로 쓰레기를 버리지 마세요.","","","","","",""
"1","2","sewage ","n. 하수, 오물 ","The city plans to build a new sewage treatment plant./sewage*_______________","그 도시는 새 하수 처리 공장을 지을 계획이다.","","","","","",""
"1","2","stain ","n. 얼룩 v. 얼룩지다[지게 하다] ","There were footprints, and several blood stains on the carpet./stains*_______________s","카펫 위에는 발자국과 여러 개의 핏자국이 있었다.","","","","","",""
"1","2","mess ","n. 어질러진[엉망인] 상태; 혼란, 곤경 v. 어질러 놓다, 더럽히다; (~ up) 망쳐놓다, 엉망으로 만들다 ","I'm sorry about the mess. I'll clean it up as soon as I'm done./mess*_______________","어질러 놓아서 미안합니다. 끝나는 대로 바로 치우겠습니다.","The world economy is in a mess and is sliding into a deep depression./mess*_______________","세계 경제는 엉망이고 깊은 경제 침체로 빠져들고 있다.","","","",""
"1","2","chaos ","n. 무질서, 혼돈","The civil war left the country in a state of total chaos./chaos*_______________","내전은 그 나라를 완전한 혼돈 상태로 남겨놓았다.","","","","","",""
"1","2","sanitary ","a. (공중) 위생의; 위생적인 ","Poor sanitary conditions led to the spread of diseases like cholera./sanitary*_______________","열악한 위생 상태는 콜레라와 같은 질병의 전염으로 이어졌다.","","","","","",""
"1","2","hygiene ","n. 위생 ","Maintaining good hygiene helps to prevent illness./hygiene*_______________","청결한 위생 상태를 유지하는 것은 질병 예방에 도움이 된다.","","","","","",""
"1","2","pollution ","n. 오염, 공해 ","We need special attention and planning to reduce the environmental pollution./pollution*_______________","환경 오염을 줄이기 위해서 우리는 특별한 주의와 계획이 필요하다.","","","","","",""
"1","2","contaminate ","v. (접촉으로) 오염시키다 ","Contaminated drinking water can cause diseases such as cholera and typhoid./Contaminated*_______________d","오염된 식수는 콜레라와 장티푸스 같은 질병을 유발할 수 있다.","","","","","",""
"1","3","costume ","n. (특유한) 복장, 옷차림, 민속 의상; 의상 ","The dancers were wearing traditional Chinese costume./costume*_______________","무용수들은 전통 중국 의상을 입고 있었다.","The actress has several costume changes during the play./costume*_______________","그 여배우는 연극 중에 의상을 여러 차례 갈아입는다.","","","",""
"1","3","garment ","n. (한 점의) 옷, 의복 ","We prefer to see sample garments before ordering./garments*_______________s","우리는 주문을 하기 전에 샘플 옷을 보는 것을 선호한다.","","","","","",""
"1","3","outfit ","n. (한 세트의) 옷, 복장","Mom has bought her a lovely new outfit for the party./outfit*_______________","엄마는 그녀에게 파티에 입을 멋진 새 옷을 사 줬다.","","","","","",""
"1","3","vest ","n. (양복의) 조끼; (특정 용도의) 조끼 ","He was wearing a vest under his jacket./vest*_______________","그는 재킷 아래에 조끼를 입고 있었다.","","","","","",""
"1","3","apron ","n. 앞치마 ","My mother always wears an apron while she is cooking./apron*_______________","내 엄마는 요리를 할 때 항상 앞치마를 두른다.","","","","","",""
"1","3","diaper ","n. 기저귀 ","She changed her baby's diaper in the women's restroom./diaper*_______________","그녀는 여자 화장실에서 아기의 기저귀를 갈았다.","","","","","",""
"1","3","fasten ","① v. (코트·셔츠·가방·문 등을) 채우다, 잠그다, 걸다 ② v. (다른 물건·장소에) 고정시키다[되다] ","Make it a habit to fasten your seatbelt whenever you get into your car./fasten*_______________","차에 탈 때는 언제나 안전벨트를 착용을 습관화 하십시오.","","","","","",""
"1","3","shabby ","a. 낡은, 해진; (옷차림이) 초라한 ","The man was wearing a shabby, old-fashioned fur coat./shabby*_______________","그는 낡은 구식 모피 코트를 입고 있었다.","","","","","",""
"1","3","strip ","v. 옷을 벗다, 남의 옷을 벗기다; (막·껍질 등을) 벗기다 ","The children stripped their clothes off and ran into the sea./stripped*_______________ed","아이들은 옷을 벗고 바다 속으로 뛰어들었다.","","","","","",""
"1","3","naked ","a. 벌거벗은, 나체의 ","Some young boys were swimming naked in the river./naked*_______________","몇몇 어린 소년들이 벌거벗은 채로 강에서 수영을 하고 있었다.","","","","","",""
"1","3","nude ","a. 벌거벗은 n. 나체화[상] ","There were too many nude scenes in the movie./nude*_______________","그 영화에는 옷을 벗고 나오는 장면이 너무 많다.","","","","","",""
"1","3","bare ","a. 살이 드러난, 벗은 ","It was so cold, but those kids were running around in bare feet./bare*_______________","매우 추운 날씨였으나 그 아이들은 맨발로 뛰어다녔다.","","","","","",""
"1","3","fabric ","n. 직물","Cotton fabrics are cool in the summer and warm in the winter./fabrics*_______________s","면직물은 여름에는 시원하고 겨울에는 따뜻하다.","","","","","",""
"1","3","textile ","n. (의류 용어로서) 직물, (-s) 섬유산업 a. 직물의 ","This factory produces a wide range of textiles including cotton, wool and silk./textiles*_______________s","이 공장은 면직, 모직, 명주를 포함한 다양한 직물을 생산하다.","","","","","",""
"1","3","fiber ","① n. (실·천·의류 등의) 섬유 ② n. (식품) 섬유소[질]; (인체 등의) 섬유질","The best fabrics are made of natural fibers./fibers*_______________s","최고의 직물은 천연 섬유로 만들어진다.","","","","","",""
"1","3","leather ","n. 가죽","This jacket is real leather, so it's really soft and high quality./leather*_______________","이 재킷은 진짜 가죽이어서 정말 부드럽고 고품질이다.","","","","","",""
"1","3","rag ","n. 해진 천, 넝마 조각 ","He put down the wrench and wiped the grease off his hands with an old rag./rag*_______________","그는 렌치를 내려놓고 해진 천으로 그의 손에서 기름 닦아냈다.","","","","","",""
"1","3","stitch ","n. 한 바늘[땀] v. 꿰매다","Try to keep the stitches as even as possible so that it looks neat./stitches*_______________es","깔끔해 보이도록 바늘땀을 최대한 고르게 되도록 하십시오.","","","","","",""
"1","3","sew ","v. 바느질하다, 꿰매다, 깁다 ","She sewed a button on her husband's shirt./sewed*_______________ed","그녀는 남편의 셔츠에 단추를 꿰매어 달았다.","","","","","",""
"1","3","weave ","v. 짜다, 엮다 ","These traditional baskets are woven from palm leaves./woven*_______________","이 전통 바구니들은 야자나무 잎으로 엮은 것이다.","","","","","",""
"1","3","knit ","v. (털실을) 뜨다, 짜다 ","His girlfriend knitted him a sweater to show how much she loved him./knitted*_______________ed","그의 여자 친구는 그를 얼마나 사랑하는지 보여주기 위해 그에게 스웨터를 떠 주었다.","","","","","",""
"1","3","mend ","① v. (옷을) 수선하다 n. 수선한 부분 ② v. (고장·파손된 것을) 수리[수선]하다","My mom mended a hole in my sock with a needle and thread./mended*_______________ed","엄마는 바늘과 실로 내 양말의 구멍을 수선했다.","","","","","",""
"1","3","patch ","n. 헝겊[가죽, 금속] 조각 v. 덧대는 조각을 대고 깁다 ","He was wearing a jacket with leather patches on the elbows./patches*_______________es","그는 팔꿈치에 헝겊 조각을 덧댄 재킷을 입고 있었다.","","","","","",""
"1","3","tailor ","n. 재봉사, 재단사 v. (용도·목적에) 맞추다 ","The tailor measured him up for his new suit./tailor*_______________","재단사는 그의 새 양복을 지으려고 그의 치수를 쟀다.","","","","","",""
"1","3","diet ","① n. 일상의 음식물 ② n. 식이 요법, 다이어트 v. 식이 요법을 하다 ","A balanced diet is essential for maintaining good health./diet*_______________","균형 잡힌 식사는 건강 유지에 필수적이다.","","","","","",""
"1","3","leftover ","n. (-s) 남은 음식 a. 남은, 나머지의 ","He finished his meal in 5 minutes with no leftovers at all./leftovers*_______________s","그는 음식을 전혀 남기지 않고 5분 만에 식사를 마쳤다.","","","","","",""
"1","3","grain ","n. 곡물(의 낟알), 곡식 ","This year's grain harvest is expected to be about 75 million tons./grain*_______________","올해의 곡물 수확량은 7천5백만 톤 정도로 기대된다.","","","","","",""
"1","3","flour ","n. 밀가루 ","Mix the flour and water together until you get a sticky mixture./flour*_______________","끈기가 있는 혼합물이 될 때까지 밀가루와 물을 함께 섞으십시오.","","","","","",""
"1","3","dough ","n. 밀가루 반죽 ","Add more water if the dough is too dry./dough*_______________","그 밀가루 반죽이 너무 말랐으면 물을 더 넣으세요.","","","","","",""
"1","3","loaf ","n. 한 덩어리의 빵 ","She sliced a loaf of bread, placed it on the kitchen table./loaf*_______________","그녀는 빵 한 덩이를 썰어서 식탁 위에 놓았다.","","","","","",""
"1","3","crust ","n. 빵 껍질 ","Mom made us chicken salad sandwiches with the crusts cut off./crusts*_______________s","엄마는 우리에게 빵 껍질 부분을 잘라 낸 치킨 샐러드 샌드위치를 만들어 주셨다.","","","","","",""
"1","3","mutton ","n. 양고기 ","Mutton is the meat from a fully-grown sheep./Mutton*_______________","Mutton은 다 자란 양의 고기이다.","","","","","",""
"1","3","butcher ","n. 정육점 주인 ","The butcher cut the meat with a long knife and placed it on the scale./butcher*_______________","정육점 주인은 긴 칼로 고기를 잘라 그것을 저울 위에 올려놓았다.","","","","","",""
"1","3","beverage ","n. 음료, 마실 것 ","It is illegal to sell alcoholic beverages without a license./beverages*_______________s","면허 없이 알코올 음료를 판매하는 것은 불법이다.","","","","","",""
"1","3","flavor ","n. 맛, 풍미 v. 맛을 내다","This ice cream comes in 3 different flavors: chocolate, vanilla and coffee./flavors*_______________s","이 아이스크림은 초콜릿 바닐라, 커피 3가지의 다른 맛으로 나온다.","","","","","",""
"1","3","bitter ","① a. (맛이) 쓴 ② a. 쓰라린, 비통한; 격렬한, 지독한, 신랄한","Many people don't like the bitter taste of black coffee./bitter*_______________","많은 사람들은 블랙커피의 쓴 맛을 좋아하지 않는다.","","","","","",""
